Entry,Exit,EntryPrice,ExitPrice,PnL,Equity
2021-03-01,2021-04-13,49631.2421875,62539.26869419643,3999.9999999999977,104000.0
2021-04-30,2021-05-12,57750.17578125,52119.88518415179,-2080.0,101920.0
2021-09-15,2021-09-20,48176.34765625,44345.1484375,-2038.4,99881.6
2021-10-01,2021-10-11,48116.94140625,56419.43470982143,3995.2640000000038,103876.86400000002
2021-10-28,2021-11-26,60622.13671875,55859.54087611607,-2077.5372800000005,101799.32672000001
2022-02-28,2022-03-04,43193.234375,39603.182338169645,-2035.9865344,99763.34018560001
2022-03-09,2022-03-13,41982.92578125,38249.5927734375,-1995.2668037120004,97768.07338188801
2022-03-16,2022-03-29,41143.9296875,47184.144252232145,3910.7229352755207,101678.79631716353
2022-10-25,2022-11-08,20095.857421875,19375.903878348214,-2033.5759263432708,99645.22039082026
2023-02-15,2023-02-24,24307.841796875,23326.203962053572,-1992.9044078164056,97652.31598300386
2023-02-26,2023-03-08,23561.212890625,22151.68875558036,-1953.0463196600774,95699.26966334379
2023-03-13,2023-03-17,24197.533203125,26839.712053571428,3827.9707865337514,99527.24044987754
2023-04-27,2023-05-08,29473.787109375,27827.903111049105,-1990.5448089975512,97536.69564087999
2023-05-28,2023-06-01,28085.646484375,27048.199148995536,-1950.7339128175997,95585.9617280624
2023-06-19,2023-06-21,26851.029296875,29333.028738839286,3823.4384691225014,99409.40019718489
2023-07-23,2023-08-04,30084.5390625,29081.658063616072,-1988.1880039436978,97421.2121932412
2023-08-08,2023-08-16,29765.4921875,29003.545549665178,-1948.424243864824,95472.78794937638
2023-09-28,2023-10-19,27021.546875,28591.409040178572,3818.911517975055,99291.69946735143
2023-11-22,2023-12-04,37432.33984375,41655.78989955357,3971.667978694064,103263.3674460455
2024-01-01,2024-01-14,44167.33203125,42160.720424107145,-2065.26734892091,101198.10009712458
2024-01-27,2024-02-09,42120.0546875,46179.880859375,4047.9240038849834,105246.02410100956
2024-03-17,2024-04-17,68390.625,61649.902064732145,-2104.9204820201912,103141.10361898938
2024-04-22,2024-04-30,66837.6796875,61177.31459263393,-2062.8220723797876,101078.28154660959
2024-05-15,2024-06-24,66267.4921875,62460.205078125,-2021.565630932192,99056.7159156774
2024-08-01,2024-08-02,65357.5,61731.85853794643,-1981.134318313548,97075.58159736385
2024-09-17,2024-10-16,60308.5390625,67261.07421875,3883.0232638945536,100958.60486125841
2024-11-05,2024-11-08,69359.5625,76299.97377232142,4038.344194450337,104996.94905570876
2024-12-24,2025-02-24,98676.09375,92143.88169642858,-2099.938981114175,102897.01007459458
2025-06-01,2025-06-22,105652.1015625,101071.27650669643,-2057.9402014918915,100839.0698731027
2025-06-23,2025-07-10,105577.7734375,115086.70033482142,4033.5627949241084,104872.6326680268
2025-08-07,2025-08-19,117496.8984375,113657.86356026786,-2097.452653360536,102775.18001466626
2025-08-22,2025-08-25,116874.0859375,112080.02315848214,-2055.5036002933252,100719.67641437294
2025-09-10,2025-09-25,113955.359375,110200.15206473214,-2014.3935282874586,98705.28288608548
2025-09-29,2025-10-03,114400.3828125,121093.3359375,3948.2113154434187,102653.4942015289
2025-10-26,2025-10-30,114472.4453125,109151.93024553571,-2053.069884030578,100600.42431749831
